ИНН, additionaldata,ID компании,Наименование полное,Наименование краткое,Реестр МСП,Вид предпринимательства,Категория субъекта,objecttype,registration_number,patent_type,patent_name,classification,publication URL
6674379227, additionaldata,42856488.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМИНВЕСТ""","ООО ""ПРОМИНВЕСТ""",,,,,167421,Полезная модель,ЗАЩИТНАЯ ЗАГЛУШКА НА ТОРЕЦ ПОЛОГО ЦИЛИНДРИЧЕСКОГО ТЕЛА,E04B   1/62,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=167421
6674379227, additionaldata,42856488.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМИНВЕСТ""","ООО ""ПРОМИНВЕСТ""",,,,,210735,Полезная модель,РАДИОМОДЕМ-МАРШРУТИЗАТОР,H04W  88/14;H04L  12/66;H04L  12/46,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=210735
6674379227, additionaldata,42856488.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМИНВЕСТ""","ООО ""ПРОМИНВЕСТ""",,,,,167422,Полезная модель,ЗАЩИТНАЯ ЗАГЛУШКА НА ТОРЕЦ ПОЛОГО ЦИЛИНДРИЧЕСКОГО ТЕЛА,E04B   1/62,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=167422
6674379227, additionaldata,42856488.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМИНВЕСТ""","ООО ""ПРОМИНВЕСТ""",,,,,167420,Полезная модель,ЗАЩИТНАЯ ЗАГЛУШКА НА ТОРЕЦ ПОЛОГО ЦИЛИНДРИЧЕСКОГО ТЕЛА,E04B   1/62,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=167420
6674379227, additionaldata,42856488.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМИНВЕСТ""","ООО ""ПРОМИНВЕСТ""",,,,,190792,Полезная модель,ОБОРУДОВАНИЕ ДЛЯ ФИКСАЦИИ ТРУБ,B60P   7/12,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=190792
7813328665, additionaldata,,,,,,,,,,,,
352602843918, additionaldata,,,,,,,,,,,,
724001418, additionaldata,,,,,,,,,,,,
7725715591, additionaldata,,,,,,,,,,,,
7713722675, additionaldata,,,,,,,,,,,,
2722115639, additionaldata,,,,,,,,,,,,
7708770426, additionaldata,,,,,,,,,,,,
524909750879, additionaldata,,,,,,,,,,,,
1650219867, additionaldata,,,,,,,,,,,,
7715852158, additionaldata,,,,,,,,,,,,
7709909818, additionaldata,,,,,,,,,,,,
7814545609, additionaldata,,,,,,,,,,,,
5028106091, additionaldata,,,,,,,,,,,,
5503226807, additionaldata,,,,,,,,,,,,
